Date,Grade,Attempts,NumMoves,MovesCompleted,TimeRested,ClimbLocation,,,
24-Jun,v1-3,1,13,100,,batcave,,,
,v5-7,2,7,28.57,0.5,left slab,,,
,v3-5,3,8,25.00,1,island,,,
,v3-5,1,9,100,4,cove,,,
,v1-3,1,11,100,2,cove,,,
,v5-7,3,7,42.86,1,left slab,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
26-Jun,,,,,,,,,
7:16,v1-3,1,13,100,,island,,,
,v5-7,1,12,58.33,1,batcave,,,
,v5-7,1,11,54.54545455,3,batcave,,,
,v3-5,2,10,80,3,cove,,,
,v5-7,3,9,44.44444444,0.5,left slab,,,
,v3-5,2,8,100,0.33,left slab,,,
,v5-7,1,12,41.66666667,4,corner pub,,,
,v1-3,1,10,100,2,left slab,,,
8:27,,,,,,,,,
,,,,,,,,,
28-Jun,,,,,,,,,
7:16,v1-3,1,13,100,,island,,,
,v3-5,1,11,100,0.33,batcave,,,
,v3-5,1,10,100,2,corner pub,,,
,v5-7,4,9,55.55555556,2,left slab,,,
,v5-7,1,9,77.78,2,left slab,,,
,v5-7,1,9,88.88888889,2,left slab,,,
,v1-3,1,14,100,5,corner pub,,,
,v3-5,1,11,100,3,corner pub,,,
,v7-9,1,8,12.5,4,cove,,,
,v5-7,1,9,94.44444444,4,left slab,,,
,,,,,,,,,
03-Jul,,,,,,,,,
7:10,v1-3,1,13,100,,island,,,
,v1-3,1,11,100,3,left slab,,,
,v5-7,1,9,88.88888889,1,left slab,,,
,v5-7,2,11,36.36363636,2,island,,,
,v3-5,2,17,52.94117647,3,island,,,
,v3-5,1,12,83.33333333,1,right slab,,,
,v3-5,1,12,100,0.33,right slab,,,
,v5-7,1,14,57.14285714,3,batcave,,,
,v5-7,1,14,64.28571429,2,batcave,,,
,v5-7,1,14,78.57142857,3,batcave,,,
,v5-7,1,9,88.88888889,5,left slab,,,
,v5-7,2,10,90,5,right slab,,,
,v5-7,8,10,30,2,right slab,,,
,v1-3,1,15,100,4,batcave,,,
,,,,,,,,,
08-Jul,,,,,,,,,
7:09,v1-3,1,13,100,,island,,,
,v3-5,1,14,21.42857143,1,corner pub,,,
,v3-5,2,14,85.71428571,3,corner pub,,,
,v5-7,1,14,57.14285714,2,corner pub,,,
,v5-7,2,9,88.88888889,3,left slab,,,
,v3-5,1,11,100,1,cove,,,
,v5-7,2,16,56.25,2,cove,,,
,v1-3,1,12,100,0.5,cove,,,
,v5-7,8,10,30,0.5,right slab,,,
,,,,,,,,,
10-Jul,,,,,,,,,
7:10,,,,,,,,,
,v1-3,1,14,100,0.33,cove,,,
,v3-5,1,14,21.42857143,1,cove,,,
,v3-5,1,14,100,0.5,cove,,,
,v3-5,4,14,35.7142857,0.2,cove,,,
,v5-7,2,9,88.88888889,3,left slab,,,
,v5-7,1,10,97.5,5,right slab,,,
,v5-7,4,10,40,0.5,right slab,,,
,v5-7,1,10,85,1,right slab,,,
,v1-3,2,6,100,2,cove,,,
,v3-5,2,15,46.66666667,1,corner pub,,,
,v3-5,1,13,23.07692308,2,cove,,,
,v3-5,3,13,38.46153846,1,cove,,,
,v3-5,1,13,76.92307692,2,cove,,,
,v1-3,1,11,100,5,cove,,,
,,,,,,,,,
12-Jul,,,,,,,,,
6:21,v1-3,1,13,100,,island,,,
,v3-5,4,14,28.57142857,0.5,corner pub,,,
,v5-7,1,10,100,3,right slab,,,
,v5-7,2,14,78.57142857,3,batcave,,,
,v5-7,1,14,85.71428571,4,batcave,,,
,v3-5,1,14,76.92307692,2,cove,,,
,,,,,,,,,
15-Jul,,,,,,,,,
7:05,v1-3,1,13,100,,island,,,
,v1,1,12,100,1,left slab,,,
,v5-7,1,9,88.88888889,3,left slab,,,
,v5-7,1,9,100,2,left slab,,,
,v5-7,1,14,85.71428571,3,batcave,,,
,v5-7,1,14,100,4,batcave,,,
,v3-5,4,14,21.42857143,0.5,cove,,,
,v3-5,1,14,100,1,cove,,,
,v5-7,1,13,46.15384615,2,cove,,,
,v5-7,2,20,15,1,left slab,,,
,v5-7,3,20,50,0.5,left slab,,,
,,,,,,,,,
17-Jul,,,,,,,,,
7:20,v1-3,1,13,100,,island,,,
,v5-7,1,15,69.23076923,1,cove,,,
,v5-7,2,15,76.92307692,2,cove,,,
,,,,,,,,,
18-Jul,,,,,,,COMP DAY,,
7:09,v1-3,1,7,100,,cove,,,
,v3-5,1,11,100,5,island,,,
,v3-5,1,8,37.5,4,left slab,,,
,v3-5,1,8,100,2,left slab,,,
,v3-5,1,12,100,5,right slab,,,
,v3-5,1,10,100,4,batcave,,,
,v3-5,2,11,90.90909091,2,island,,,
,v3-5,1,11,100,1,island,,,
,,,,,,,,,
29-Jul,,,,,,,,,
7:05,v1-3,1,12,100,,batcave,,,
,v5-7,3,14,35.7142857,1,island,,,
,v5-7,1,14,42.857142857,2,island,,,
,v5-7,1,14,100,2,island,,,